Cut,inertia,OMI,Tol,Rtol,omi,tol,rtol,Niche
278,3.120400862,1.502671733,0.958884709,0.65884442,48.2,30.7,21.1,60
279,3.135706225,1.515729156,0.963785436,0.656191632,48.3,30.7,20.9,60
280,3.16636888,1.55079829,0.972319165,0.643251425,49,30.7,20.3,60
281,3.167085044,1.552583921,0.972310583,0.642190539,49,30.7,20.3,60
282,3.183144613,1.578604114,0.976748111,0.627792388,49.6,30.7,19.7,60
283,3.186205744,1.580978717,0.97786213,0.627364897,49.6,30.7,19.7,60
284,3.214351952,1.61275774,0.982950505,0.618643707,50.2,30.6,19.2,60
285,3.217939874,1.61500337,0.984427783,0.618508722,50.2,30.6,19.2,60
286,3.259533561,1.667390476,0.997327401,0.594815684,51.2,30.6,18.2,60
287,3.262676352,1.669634798,0.998943744,0.59409781,51.2,30.6,18.2,60
288,3.276098128,1.685756005,1.001961975,0.588380148,51.5,30.6,18,60
289,3.281263204,1.689819199,1.004056979,0.587387026,51.5,30.6,17.9,60
290,3.287998037,1.695532861,1.005692932,0.586772244,51.6,30.6,17.8,60
291,3.312699956,1.721796971,1.006415734,0.58448725,52,30.4,17.6,60
292,3.324717468,1.728742585,1.012129307,0.583845576,52,30.4,17.6,60
293,3.349747715,1.753283798,1.016140882,0.580323034,52.3,30.3,17.3,60
294,3.361685608,1.760508776,1.022228881,0.578947951,52.4,30.4,17.2,60
295,3.3875003,1.78615583,1.024391771,0.576952699,52.7,30.2,17,60
296,3.396535692,1.791366896,1.028768959,0.576399837,52.7,30.3,17,60
297,3.42381824,1.819239361,1.031553257,0.573025622,53.1,30.1,16.7,60
298,3.433071791,1.824582202,1.035983374,0.572506215,53.1,30.2,16.7,60
299,3.433325573,1.824855973,1.036131214,0.572338385,53.2,30.2,16.7,60
300,3.463811215,1.852250141,1.038205325,0.573355749,53.5,30,16.6,60
301,3.469228789,1.854955403,1.040693098,0.573580287,53.5,30,16.5,60
302,3.487148202,1.87176255,1.042751521,0.572634131,53.7,29.9,16.4,60
303,3.49537765,1.875880346,1.046524032,0.572973271,53.7,29.9,16.4,60
