Cut,inertia,OMI,Tol,Rtol,omi,tol,rtol,Niche 
115,1.530356673,0.140683366,0.619570149,0.770103157,9.2,40.5,50.3,50
116,1.524738059,0.140508534,0.62793092,0.756298605,9.2,41.2,49.6,50
117,1.502257906,0.135982792,0.620235378,0.746039736,9.1,41.3,49.7,50
118,1.488768824,0.135698962,0.622570624,0.730499238,9.1,41.8,49.1,50
119,1.484270205,0.137216398,0.629933336,0.717120471,9.2,42.4,48.3,50
120,1.480737981,0.139001747,0.636760744,0.704975491,9.4,43,47.6,50
121,1.474802133,0.141571942,0.643629622,0.68960057,9.6,43.6,46.8,50
122,1.464945851,0.141507432,0.644203018,0.679235401,9.7,44,46.4,50
123,1.447515727,0.138617315,0.637047871,0.671850541,9.6,44,46.4,50
124,1.438704859,0.136497216,0.634936718,0.667270925,9.5,44.1,46.4,50
125,1.421901131,0.13134046,0.629222809,0.661337862,9.2,44.3,46.5,50
126,1.417692194,0.128466752,0.63177295,0.657452492,9.1,44.6,46.4,50
127,1.401991435,0.125544485,0.629057722,0.647389228,9,44.9,46.2,50
128,1.398933133,0.123896234,0.630657411,0.644379487,8.9,45.1,46.1,50
129,1.38764327,0.120290941,0.629427358,0.637924971,8.7,45.4,46,50
130,1.388373008,0.121224935,0.629510879,0.637637194,8.7,45.3,45.9,50
131,1.386698895,0.119179198,0.629786445,0.637733252,8.6,45.4,46,50
132,1.378334506,0.116899546,0.626790473,0.634644487,8.5,45.5,46,50
133,1.375748236,0.112688715,0.627051503,0.636008018,8.2,45.6,46.2,50
134,1.368948056,0.112230476,0.624955303,0.631762277,8.2,45.7,46.1,50
135,1.369294912,0.113532275,0.624426826,0.631335811,8.3,45.6,46.1,50
136,1.354529749,0.11442629,0.614993782,0.625109677,8.4,45.4,46.1,50
137,1.308313059,0.108223844,0.584018421,0.616070794,8.3,44.6,47.1,50
138,1.292419774,0.106455409,0.575999961,0.609964404,8.2,44.6,47.2,50
139,1.293074692,0.107263952,0.575792529,0.610018211,8.3,44.5,47.2,50
140,1.292327424,0.110052017,0.573207569,0.609067839,8.5,44.4,47.1,50
141,1.275793984,0.110709913,0.562911895,0.602172176,8.7,44.1,47.2,50
142,1.275334211,0.114207928,0.558523569,0.602602713,9,43.8,47.3,50
143,1.247856035,0.112062653,0.539919204,0.595874178,9,43.3,47.8,50
144,1.247303347,0.116527311,0.533834247,0.596941789,9.3,42.8,47.9,50
145,1.205076958,0.111473306,0.51088345,0.582720201,9.3,42.4,48.4,50
146,1.202793455,0.113935713,0.507905983,0.580951759,9.5,42.2,48.3,50
147,1.16890892,0.109105088,0.492908416,0.566895415,9.3,42.2,48.5,50
148,1.168527399,0.109954182,0.492174239,0.566398977,9.4,42.1,48.5,50
149,1.127621001,0.101821737,0.478583124,0.54721614,9,42.4,48.5,50
150,1.129483939,0.099812646,0.481443719,0.548227573,8.8,42.6,48.5,50
151,1.128958292,0.100983181,0.480748204,0.547226907,8.9,42.6,48.5,50
152,1.116277707,0.10157368,0.476031832,0.538672195,9.1,42.6,48.3,50
153,1.116169338,0.103224785,0.475158432,0.537786121,9.2,42.6,48.2,50
154,1.098412886,0.112726814,0.476256868,0.509429204,10.3,43.4,46.4,50
155,1.095691337,0.115331964,0.472196967,0.508162405,10.5,43.1,46.4,50
156,1.096501486,0.12092751,0.472992545,0.50258143,11,43.1,45.8,50
157,1.096484242,0.120626763,0.473129029,0.502728451,11,43.1,45.8,50
158,1.097559523,0.128245495,0.473448941,0.495865087,11.7,43.1,45.2,50
159,1.09792667,0.128946738,0.472941595,0.496038337,11.7,43.1,45.2,50
160,1.096302156,0.128298746,0.472389197,0.495614212,11.7,43.1,45.2,50
161,1.097071356,0.132744495,0.470416249,0.493910613,12.1,42.9,45,50
162,1.097241624,0.133549088,0.469358061,0.494334475,12.2,42.8,45.1,50
163,1.095507126,0.138101842,0.465338773,0.492066511,12.6,42.5,44.9,50
164,1.092826762,0.138506617,0.463579492,0.490740652,12.7,42.4,44.9,50
165,1.091581365,0.142999295,0.459969282,0.488612788,13.1,42.1,44.8,50
166,1.089677763,0.143316631,0.459011258,0.487349874,13.2,42.1,44.7,50
167,1.091510232,0.149671908,0.454420096,0.487418228,13.7,41.6,44.7,50
168,1.089505985,0.150528186,0.451678516,0.487299284,13.8,41.5,44.7,50
169,1.089872475,0.150119942,0.451081835,0.488670698,13.8,41.4,44.8,50
170,1.091302122,0.152538736,0.449104654,0.489658733,14,41.2,44.9,50
171,1.091371007,0.152007059,0.447797,0.491566947,13.9,41,45,50
172,1.089924694,0.156850315,0.443665281,0.489409098,14.4,40.7,44.9,50
173,1.089701741,0.156536222,0.44326296,0.489902558,14.4,40.7,45,50
174,1.093081443,0.163322699,0.439470878,0.490287866,14.9,40.2,44.9,50
175,1.09645876,0.16341871,0.439638734,0.493401316,14.9,40.1,45,50
176,1.100813514,0.172297668,0.434692037,0.49382381,15.7,39.5,44.9,50
177,1.101254999,0.172142355,0.434044964,0.495067679,15.6,39.4,45,50
178,1.101331325,0.171720948,0.433459774,0.496150602,15.6,39.4,45.1,50
179,1.106244584,0.18053525,0.428444657,0.497264676,16.3,38.7,45,50
180,1.107370386,0.180392422,0.428878468,0.498099495,16.3,38.7,45,50
181,1.110179613,0.192739986,0.419227137,0.49821249,17.4,37.8,44.9,50
182,1.109582447,0.192033915,0.419143574,0.498404958,17.3,37.8,44.9,50
183,1.113059768,0.203629424,0.410550529,0.498879815,18.3,36.9,44.8,50
184,1.112835814,0.203612649,0.410620362,0.498602803,18.3,36.9,44.8,50
185,1.117700786,0.214053469,0.40291431,0.500733008,19.2,36,44.8,50
186,1.113983515,0.213141075,0.402838386,0.498004054,19.1,36.2,44.7,50
187,1.111557742,0.213079378,0.402309491,0.496168873,19.2,36.2,44.6,50
188,1.116029853,0.227692566,0.390206122,0.498131165,20.4,35,44.6,50
189,1.117198171,0.227242864,0.389566124,0.500389182,20.3,34.9,44.8,50
