x_rounded,y_rounded,Epoch,Database,Site
4.75,46.300000000000004,Pleistocene,PACEA,Solutre
4.75,50.1,Pleistocene,PACEA,Trou des Blaireux
4.800000000000001,45.35,Pleistocene,Stage 3,Le Stade quarry [Salaise sur Sanne]
4.8500000000000005,50.35,Pleistocene,PACEA,Trou de Burnot
4.9,50.2,Pleistocene,RPDE,Trou Magrite
4.9,50.25,Pleistocene,PACEA,"Trou Magrite, Pont-á-Lesse"
4.95,50.2,Pleistocene & Holocene,PACEA,"Belgium, Trou Dubois"
5,50.45,Pleistocene,RPDE,Goyet
5.050000000000001,50.5,Pleistocene,RPDE,Scladina Cave
5.2,46.650000000000006,Pleistocene,PACEA,Grotte de Chaumois-Boivin (Blois-sur-Seille)
5.25,45.050000000000004,Pleistocene,PACEA,Les Gisements de Saint-Nazaire-en-Royans
5.25,50.050000000000004,Pleistocene,PACEA,Le Pre des Forges
5.300000000000001,46.6,Pleistocene,Lorenzen,La Croze
5.4,45.050000000000004,Pleistocene,Stage 3,Grotte de la Balme Rousse [Choranche]
5.4,46.1,Pleistocene & Holocene,PACEA,"Abri Gay, Niveau Azilien, Pocin, Ain"
5.45,46.400000000000006,Pleistocene,EUROEVOL,La Baume
5.5,46.75,Pleistocene,PACEA,"Grappin, Arlay"
5.550000000000001,45.150000000000006,Pleistocene & Holocene,EUROEVOL,"La Passagere, Meaudre, Isere"
5.550000000000001,47.150000000000006,Pleistocene,Lorenzen,Gr de la Mere Clochette
5.7,50.45,Holocene,PACEA,Grotte Remouchamps
5.7,50.5,Holocene,PACEA,Remouchamps
5.7,50.550000000000004,Pleistocene,PACEA,"Belgium, Trou Walou"
5.75,47.150000000000006,Pleistocene,RPDE,"Abri des Cabones, Ranchot"
5.800000000000001,45.5,Pleistocene & Holocene,PACEA,"La Fru, Saint-Christophe"
5.800000000000001,45.7,Pleistocene,PACEA,Grotte de Bange
5.9,44.550000000000004,Pleistocene,RPDE,Grotte Chauvet
5.9,45.45,Pleistocene & Holocene,PACEA,La Balme a Collomb [Entremont-les-Vieux]
5.95,47.5,Pleistocene,EUROEVOL,Baume Noire
6,47.1,Pleistocene,RPDE,Ranchot
6.15,47.35,Pleistocene,PACEA,"Rigny, Doubs"
6.15,47.6,Pleistocene,PACEA,Grotte de la Baume
6.25,49.5,Pleistocene,PACEA,Altwies
6.25,49.6,Pleistocene,PACEA,Oetrange
6.3500000000000005,45.900000000000006,Pleistocene,CARD,Auzary-Thones
6.3500000000000005,47.5,Holocene,PACEA,Rochedane
6.45,49.550000000000004,Pleistocene,PACEA,Munzingen
6.65,50.25,Pleistocene,Stage 3,Magdalenahohle
6.7,51.5,Pleistocene,Lorenzen,Herne West
6.75,47.5,Pleistocene,PACEA,"La Roche de Bavans, Bavans"
6.75,52.25,Pleistocene,Stage 3,Orvelte
6.800000000000001,50.650000000000006,Holocene,EUROEVOL,Kartstein
6.95,47,Pleistocene,PACEA,"Vaumarcus, Neuchatel"
7.4,50.45,Pleistocene & Holocene,PACEA,Gönnersdorf
7.6000000000000005,47.400000000000006,Pleistocene,PACEA,Kastelhöhle-Nord
7.6000000000000005,50.400000000000006,Holocene,PACEA,Urbar
7.75,47.900000000000006,Pleistocene & Holocene,PACEA,Teufelsbrucke
8.15,50.400000000000006,Pleistocene,Lorenzen,Wildscheuer cave
8.3,50.2,Pleistocene,Lorenzen,Wiesbaden-Igstadt
8.35,44.150000000000006,Pleistocene,PACEA,Arene Candide Cave
8.4,52.45,Holocene,PACEA,Lemförde
8.700000000000001,47.75,Pleistocene,RPDE,Kesslerloch Cave
8.8,47.85,Pleistocene & Holocene,RPDE,Petersfels
8.8,56.300000000000004,Pleistocene,Lorenzen,Stengardens Grusgrav 2
8.85,47.95,Pleistocene,Lorenzen,Petersfels
8.9,47.85,Pleistocene,PACEA,Petersfels
9,44.400000000000006,Pleistocene,Lorenzen,"Arene Candidae, Schicht P7"
9.15,48.1,Pleistocene,RPDE,Zigeunerfels Cave
9.200000000000001,55.300000000000004,Pleistocene,RPDE,"Slotseng 9, Haderslev"
9.35,53.150000000000006,Pleistocene & Holocene,PACEA,Stellmoor
9.55,54.650000000000006,Holocene,RPDE,"Klappholz, Schleswig-Flensburg"
9.65,48.400000000000006,Pleistocene,RPDE,"Sirgenstein, Ach Valley"
9.700000000000001,61.650000000000006,Pleistocene,Lorenzen,Kvam
9.75,48.400000000000006,Pleistocene,RPDE,Hohle Fels
9.75,57.400000000000006,Holocene,RPDE,Nørre Lyngby
9.8,48.400000000000006,Pleistocene,RPDE,Geiβenklösterle
9.850000000000001,49.1,Pleistocene,PACEA,"Hohlenstein Stadel, Asselingen"
9.9,51.45,Pleistocene,RPDE,Abri Stendel
10,51.45,Pleistocene & Holocene,RPDE,Bettenroder Berg IX
10.15,48.5,Pleistocene,PACEA,Hohlenstein-Stadel IV
10.15,48.550000000000004,Pleistocene,PACEA,Hohlenstein-Stadel IV
